id,detalle,precio
26556N,TERRA COTTON,"S/.2.625,00"
2916010007,SIPAN,"S/.2.150,00"
465261,DRILL ACC,"S/.1.060,00"
465262,DRILL S/ACC,"S/.1.000,00"
465281,DRILL ACC,"S/.850,00"
2115022201,LATEX ACTIPRO,"S/.1.610,00"
458348,POLISEDA GALAXY,"S/.1.610,00"
466501,ICOMFORT GUIDANCE,"S/.2.315,00"
2116020401,3 ESTRELLAS,"S/.2.150,00"
266347,DRIMER FUTURPEDIC,"S/.1.605,00"
4137050201,SERTA GUIDANCE,"S/.2.395,00"
458446,OMEGA,"S/.2.150,00"
2662A3,ACQUA CIRCULACION,"S/.950,00"
2843080002,DRIMER GEMINIS,"S/.1.605,00"
2147020801,ACQUA CIRCULACION,"S/.2.305,00"
2116050101,SERTAPEDIC WAITROSE,"S/.2.150,00"
2662A4,ACQUA SPORT,"S/.930,00"
2125040491,SIMMONS BEAUTYREST FELICITY,"S/.1.600,00"
2665A4,ACQUA SPORT,"S/.2.205,00"
284495,TECHNODREAM OXYGEN,"S/.2.150,00"
266220,ACTIPRO,"S/.1.200,00"
4915010001,ACQUA C/POLISEDA,"S/.1.600,00"
266520,ACTIPRO,"S/.2.445,00"
2844C4,DRIMER ALOE VERA,"S/.2.145,00"
2144022301,ANTIACAROS,"S/.1.170,00"
284345,HOTELERO 4 ESTRELLAS,"S/.1.600,00"
2147022301,ANTIACAROS,"S/.2.375,00"
265428,SUPER FOAM DRILL,"S/.2.140,00"
266217,CIC,"S/.1.020,00"
2115030891,QUANTUM,"S/.1.600,00"
267045,PREMIUN,"S/.665,00"
266517,CIC,"S/.2.335,00"
284450,AERO AIRFRESH,"S/.2.140,00"
2115040101,SIMMONS BEAUTYSLEEP,"S/.1.600,00"
2144020101,CROMO,"S/.1.000,00"
466301,ICOMFORT GUIDANCE,"S/.1.595,00"
2147020101,CROMO,"S/.2.460,00"
2844B5,VISCO ANTISTRESS,"S/.2.140,00"
266246,DRIMER,"S/.1.260,00"
2125020101,VENTUS,"S/.1.595,00"
2115020201,MANTRA,"S/.1.590,00"
2911020003,SOYA BB,"S/.645,00"
266546,DRIMER,"S/.2.595,00"
2916021801,GEMINIS,"S/.2.135,00"
2144020391,DRIMER FOREVER YOUNG,"S/.1.280,00"
458346,OMEGA,"S/.1.590,00"
2147020301,DRIMER FOREVER YOUNG,"S/.2.230,00"
267473,TARENTO PT,"S/.2.135,00"
266247,DRIMER FUTURPEDIC,"S/.1.030,00"
2843B4,SILVER,"S/.1.590,00"
266547,DRIMER FUTURPEDIC,"S/.2.565,00"
