id,detalle,modelo,precio
270335,DIDA,3 CUERPO,"S/.920,00"
270151,DIVO,1 CUERPO,"S/.690,00"
270251,DIVO,2 CUERPO,"S/.885,00"
270351,DIVO,3 CUERPO,"S/.1.435,00"
2701BN,DUAL,1 CUERPO,"S/.855,00"
2702BN,DUAL,2 CUERPO,"S/.885,00"
2703BN,DUAL,3 CUERPO,"S/.1.615,00"
2212010201,DUNIA,2 CUERPO,"S/.1.320,00"
2213010201,DUNIA,3 CUERPO,"S/.925,00"
2701BP,DURHAM,1 CUERPO,"S/.925,00"
2702BP,DURHAM,2 CUERPO,"S/.835,00"
2703BP,DURHAM,3 CUERPO,"S/.1.395,00"
2701AX,ECONOMICO 001,1 CUERPO,"S/.865,00"
2702AX,ECONOMICO 001,2 CUERPO,"S/.1.215,00"
2703AX,ECONOMICO 001,3 CUERPO,"S/.1.115,00"
2701B7,ECONOMICO VN-002,1 CUERPO,"S/.645,00"
2702B7,ECONOMICO VN-002,2 CUERPO,"S/.925,00"
2703B7,ECONOMICO VN-002,3 CUERPO,"S/.1.525,00"
2701B8,ECONOMICO VN-003,1 CUERPO,"S/.960,00"
2702B8,ECONOMICO VN-003,2 CUERPO,"S/.895,00"
2703B8,ECONOMICO VN-003,3 CUERPO,"S/.1.310,00"
270139,ELIZABETH,1 CUERPO,"S/.685,00"
270239,ELIZABETH,2 CUERPO,"S/.715,00"
270339,ELIZABETH,3 CUERPO,"S/.1.525,00"
2211013101,ESPFIBRAA,1 CUERPO,"S/.960,00"
2212013101,ESPFIBRAA,2 CUERPO,"S/.1.025,00"
2213013101,ESPFIBRAA,3 CUERPO,"S/.1.435,00"
270141,ESTEFAN,1 CUERPO,"S/.710,00"
270241,ESTEFAN,2 CUERPO,"S/.1.110,00"
2213013201,ESTEFAN,3 CUERPO,"S/.1.295,00"
2701AL,ESTEFAN II,1 CUERPO,"S/.600,00"
2702AL,ESTEFAN II,2 CUERPO,"S/.925,00"
2703AL,ESTEFAN II,3 CUERPO,"S/.1.460,00"
270195,FARFAN,1 CUERPO,"S/.945,00"
270295,FARFAN,2 CUERPO,"S/.835,00"
270395,FARFAN,3 CUERPO,"S/.1.055,00"
270266,FERRARI,2 CUERPO,"S/.795,00"
270366,FERRARI,3 CUERPO,"S/.915,00"
270114,FLORENCIA,1 CUERPO,"S/.830,00"
270214,FLORENCIA,2 CUERPO,"S/.960,00"
270314,FLORENCIA,3 CUERPO,"S/.1.380,00"
270118,FLORIDA,1 CUERPO,"S/.740,00"
270218,FLORIDA,2 CUERPO,"S/.755,00"
270318,FLORIDA,3 CUERPO,"S/.1.155,00"
270175,G&S,1 CUERPO,"S/.900,00"
270275,G&S,2 CUERPO,"S/.1.215,00"
270375,G&S,3 CUERPO,"S/.955,00"
270133,GENOVA,1 CUERPO,"S/.700,00"
270233,GENOVA,2 CUERPO,"S/.780,00"
270333,GENOVA,3 CUERPO,"S/.1.675,00"
2701A5,GENOVA I,1 CUERPO,"S/.685,00"
2702A5,GENOVA I,2 CUERPO,"S/.1.355,00"
2703A5,GENOVA I,3 CUERPO,"S/.1.480,00"
270162,GHANA,1 CUERPO,"S/.790,00"
270262,GHANA,2 CUERPO,"S/.1.255,00"
270362,GHANA,3 CUERPO,"S/.1.160,00"
270131,GIOVANA,1 CUERPO,"S/.815,00"
270231,GIOVANA,2 CUERPO,"S/.875,00"
270331,GIOVANA,3 CUERPO,"S/.1.245,00"
270124,GRANADA,1 CUERPO,"S/.960,00"
270224,GRANADA,2 CUERPO,"S/.980,00"
270324,GRANADA,3 CUERPO,"S/.1.625,00"
2701A3,GRECO,1 CUERPO,"S/.730,00"
2702A3,GRECO,2 CUERPO,"S/.760,00"
2703A3,GRECO,3 CUERPO,"S/.1.100,00"
270107,GSU,1 CUERPO,"S/.750,00"
270207,GSU,2 CUERPO,"S/.745,00"
270307,GSU,3 CUERPO,"S/.1.650,00"
270191,HAMBURG,1 CUERPO,"S/.935,00"
270291,HAMBURG,2 CUERPO,"S/.1.225,00"
270391,HAMBURG,3 CUERPO,"S/.1.250,00"
270155,HENRY,1 CUERPO,"S/.835,00"
270255,HENRY,2 CUERPO,"S/.700,00"
270355,HENRY,3 CUERPO,"S/.1.565,00"
470201,HWCS - MOD SF-JN-1204-2,2 CUERPO,"S/.1.050,00"
270109,IMAN,1 CUERPO,"S/.795,00"
270209,IMAN,2 CUERPO,"S/.950,00"
270309,IMAN,3 CUERPO,"S/.1.205,00"
270197,IMAN PU,1 CUERPO,"S/.640,00"
270297,IMAN PU,2 CUERPO,"S/.1.165,00"
270397,IMAN PU,3 CUERPO,"S/.1.530,00"
2701C2,JIME,1 CUERPO,"S/.780,00"
2702C2,JIME,2 CUERPO,"S/.1.205,00"
2703C2,JIME,3 CUERPO,"S/.1.500,00"
270136,KAFU,1 CUERPO,"S/.915,00"
270236,KAFU,2 CUERPO,"S/.730,00"
270336,KAFU,3 CUERPO,"S/.1.070,00"
270194,KUBICA,1 CUERPO,"S/.830,00"
270294,KUBICA,2 CUERPO,"S/.1.100,00"
270394,KUBICA,3 CUERPO,"S/.1.585,00"
270116,LAZIO,1 CUERPO,"S/.795,00"
270316,LAZIO,3 CUERPO,"S/.1.055,00"
2702AD,LEONARD,2 CUERPO,"S/.1.370,00"
270137,LISBOA,1 CUERPO,"S/.915,00"
270237,LISBOA,2 CUERPO,"S/.1.085,00"
270337,LISBOA,3 CUERPO,"S/.1.420,00"
270123,LORD,1 CUERPO,"S/.740,00"
270223,LORD,2 CUERPO,"S/.855,00"
270323,LORD,3 CUERPO,"S/.1.300,00"
270198,LYON,1 CUERPO,"S/.915,00"
270398,LYON,3 CUERPO,"S/.1.060,00"
2212010191,LYON,2 CUERPO,"S/.1.220,00"
270112,MADRAS,1 CUERPO,"S/.740,00"
270212,MADRAS,2 CUERPO,"S/.1.200,00"
2213013691,MADRAS,3 CUERPO,"S/.1.415,00"
270182,MADRAS PU,1 CUERPO,"S/.765,00"
270282,MADRAS PU,2 CUERPO,"S/.1.060,00"
270382,MADRAS PU,3 CUERPO,"S/.1.580,00"
2701AH,MADRAS SD,1 CUERPO,"S/.935,00"
2702AH,MADRAS SD,2 CUERPO,"S/.715,00"
2703AH,MADRAS SD,3 CUERPO,"S/.1.430,00"
270113,MALAGA,1 CUERPO,"S/.600,00"
270213,MALAGA,2 CUERPO,"S/.780,00"
270313,MALAGA,3 CUERPO,"S/.1.255,00"
270145,MANCHESTER,1 CUERPO,"S/.795,00"
270245,MANCHESTER,2 CUERPO,"S/.1.030,00"
270453,MANCHESTER,3 CUERPO,"S/.900,00"
2701C1,MANTOVA,1 CUERPO,"S/.840,00"
2703C1,MANTOVA,3 CUERPO,"S/.1.135,00"
2212013701,MANTOVA,2 CUERPO,"S/.955,00"
2701BF,MARSELLA,1 CUERPO,"S/.685,00"
2702BF,MARSELLA,2 CUERPO,"S/.1.300,00"
2212013801,MARSELLA,2 CUERPO,"S/.1.335,00"
2213013801,MARSELLA,3 CUERPO,"S/.1.460,00"
2701BI,MATERAZZI,1 CUERPO,"S/.910,00"
2702BI,MATERAZZI,2 CUERPO,"S/.1.360,00"
2213013991,MATERAZZI,3 CUERPO,"S/.1.085,00"
270268,MCLAREN,2 CUERPO,"S/.785,00"
270368,MCLAREN,3 CUERPO,"S/.1.115,00"
2701B4,MEDIA 001 CHENILLE,1 CUERPO,"S/.740,00"
2702B4,MEDIA 001 CHENILLE,2 CUERPO,"S/.815,00"
2703B4,MEDIA 001 CHENILLE,3 CUERPO,"S/.1.095,00"
2702BC,MEDIA 001 PU,2 CUERPO,"S/.895,00"
2703BC,MEDIA 001 PU,3 CUERPO,"S/.1.285,00"
2702AT,MEDIA 001 VN,2 CUERPO,"S/.785,00"
2703AT,MEDIA 001 VN,3 CUERPO,"S/.1.230,00"
2701BD,MEDIA 002 CHENILLE,1 CUERPO,"S/.670,00"
2702BD,MEDIA 002 CHENILLE,2 CUERPO,"S/.830,00"
2703BD,MEDIA 002 CHENILLE,3 CUERPO,"S/.1.620,00"
2701AP,MEDIA 002 VN,1 CUERPO,"S/.735,00"
2702AP,MEDIA 002 VN,2 CUERPO,"S/.1.120,00"
2703AP,MEDIA 002 VN,3 CUERPO,"S/.1.650,00"
2701B3,MEDIA 003 PU,1 CUERPO,"S/.755,00"
2702B3,MEDIA 003 PU,2 CUERPO,"S/.1.050,00"
2703B3,MEDIA 003 PU,3 CUERPO,"S/.1.380,00"
2701AQ,MEDIA 003 VN,1 CUERPO,"S/.715,00"
2702AQ,MEDIA 003 VN,2 CUERPO,"S/.1.280,00"
2703AQ,MEDIA 003 VN,3 CUERPO,"S/.1.200,00"
2701B6,MEDIA 004 PU,1 CUERPO,"S/.830,00"
2702B6,MEDIA 004 PU,2 CUERPO,"S/.1.100,00"
2703B6,MEDIA 004 PU,3 CUERPO,"S/.1.420,00"
2701B2,MEDIA 004 VN,1 CUERPO,"S/.950,00"
2702B2,MEDIA 004 VN,2 CUERPO,"S/.1.320,00"
2703B2,MEDIA 004 VN,3 CUERPO,"S/.1.050,00"
2701B9,MEDIA 005 VN,1 CUERPO,"S/.800,00"
2702B9,MEDIA 005 VN,2 CUERPO,"S/.1.350,00"
2703B9,MEDIA 005 VN,3 CUERPO,"S/.1.280,00"
270281,MESSI,2 CUERPO,"S/.1.380,00"
270381,MESSI,3 CUERPO,"S/.1.610,00"
2701C6,METZ,1 CUERPO,"S/.840,00"
2702C6,METZ,2 CUERPO,"S/.910,00"
2703C6,METZ,3 CUERPO,"S/.1.270,00"
270149,MILAN,1 CUERPO,"S/.650,00"
270249,MILAN,2 CUERPO,"S/.770,00"
270349,MILAN,3 CUERPO,"S/.940,00"
270A73,MODERNO MODULAR,1 CUERPO,"S/.815,00"
270B73,MODERNO MODULAR,2 CUERPO,"S/.1.240,00"
270256,MONACO,2 CUERPO,"S/.1.150,00"
270356,MONACO,3 CUERPO,"S/.950,00"
270248,MUNICH,2 CUERPO,"S/.730,00"
270348,MUNICH,3 CUERPO,"S/.930,00"
270201,MURANO,2 CUERPO,"S/.1.260,00"
270301,MURANO,3 CUERPO,"S/.1.260,00"
270219,MUSSA,2 CUERPO,"S/.1.340,00"
270319,MUSSA,3 CUERPO,"S/.1.240,00"
2702C5,NANTES,2 CUERPO,"S/.1.105,00"
2703C5,NANTES,3 CUERPO,"S/.905,00"
2211014101,NANTES,1 CUERPO,"S/.790,00"
2701A7,NAPOLES,1 CUERPO,"S/.695,00"
2702A7,NAPOLES,2 CUERPO,"S/.1.380,00"
2703A7,NAPOLES,3 CUERPO,"S/.1.580,00"
270144,NEW CASTLE,1 CUERPO,"S/.720,00"
270244,NEW CASTLE,2 CUERPO,"S/.1.320,00"
270344,NEW CASTLE,3 CUERPO,"S/.1.020,00"
270111,NICOLE,1 CUERPO,"S/.945,00"
270211,NICOLE,2 CUERPO,"S/.725,00"
270311,NICOLE,3 CUERPO,"S/.1.525,00"
270125,NOA,1 CUERPO,"S/.740,00"
270225,NOA,2 CUERPO,"S/.1.250,00"
2213014201,NOA,3 CUERPO,"S/.1.650,00"
270128,NOA TELA,1 CUERPO,"S/.785,00"
270228,NOA TELA,2 CUERPO,"S/.1.295,00"
270328,NOA TELA,3 CUERPO,"S/.1.695,00"
2701A9,NUVA,1 CUERPO,"S/.755,00"
2702A9,NUVA,2 CUERPO,"S/.1.390,00"
2703A9,NUVA,3 CUERPO,"S/.1.390,00"
2701BL,OPTERON,1 CUERPO,"S/.925,00"
2702BL,OPTERON,2 CUERPO,"S/.810,00"
2703BL,OPTERON,3 CUERPO,"S/.910,00"
2701AA,PACIFIC,1 CUERPO,"S/.840,00"
2702AA,PACIFIC,2 CUERPO,"S/.1.065,00"
2703AA,PACIFIC,3 CUERPO,"S/.1.665,00"
2701AM,PACIFIC VN,1 CUERPO,"S/.705,00"
2702AM,PACIFIC VN,2 CUERPO,"S/.860,00"
2703AM,PACIFIC VN,3 CUERPO,"S/.1.460,00"
270284,PADUA,2 CUERPO,"S/.1.310,00"
270384,PADUA,3 CUERPO,"S/.1.010,00"
270164,PAOLO,1 CUERPO,"S/.965,00"
270264,PAOLO,2 CUERPO,"S/.1.000,00"
